date,signal,instrument,pnl_pts,entry_num,direction,year
2024-12-10,DAX_S2,DAX,-2.5,1,SHORT,2024
2024-12-10,DAX_S2,DAX,-24.0,2,SHORT,2024
2024-12-10,DAX_S2,DAX,-24.0,3,LONG,2024
2024-12-11,DAX_S2,DAX,1.4,1,LONG,2024
2024-12-11,DAX_S2,DAX,10.4,2,LONG,2024
2024-12-11,DAX_S2,DAX,1.4,3,LONG,2024
2024-12-12,DAX_S2,DAX,3.5,1,LONG,2024
2024-12-12,DAX_S2,DAX,0.0,2,LONG,2024
2024-12-12,DAX_S2,DAX,2.0,3,LONG,2024
2024-12-13,DAX_S2,DAX,12.4,1,LONG,2024
2024-12-13,DAX_S2,DAX,26.9,2,LONG,2024
2024-12-13,DAX_S2,DAX,27.4,3,LONG,2024
2024-12-16,DAX_S2,DAX,-1.6,1,LONG,2024
2024-12-16,DAX_S2,DAX,-7.0,2,LONG,2024
2024-12-16,DAX_S2,DAX,-13.0,3,SHORT,2024
2024-12-17,DAX_S2,DAX,-13.0,1,LONG,2024
2024-12-17,DAX_S2,DAX,0.4,2,LONG,2024
2024-12-17,DAX_S2,DAX,10.0,3,LONG,2024
2024-12-18,DAX_S2,DAX,-5.6,1,SHORT,2024
2024-12-18,DAX_S2,DAX,-0.1,2,SHORT,2024
2024-12-18,DAX_S2,DAX,0.5,3,SHORT,2024
2024-12-19,DAX_S2,DAX,-7.5,1,SHORT,2024
2024-12-19,DAX_S2,DAX,-16.0,2,LONG,2024
2024-12-19,DAX_S2,DAX,7.5,3,SHORT,2024
2024-12-20,DAX_S2,DAX,-4.6,1,LONG,2024
2024-12-20,DAX_S2,DAX,9.0,2,LONG,2024
2024-12-20,DAX_S2,DAX,3.0,3,LONG,2024
2024-12-23,DAX_S2,DAX,-11.9,1,LONG,2024
2024-12-23,DAX_S2,DAX,32.2,2,SHORT,2024
2024-12-23,DAX_S2,DAX,16.0,3,SHORT,2024
2024-12-24,DAX_S2,DAX,-5.3,1,LONG,2024
2024-12-24,DAX_S2,DAX,-3.2,2,LONG,2024
2024-12-24,DAX_S2,DAX,0.2,3,LONG,2024
2024-12-26,DAX_S2,DAX,-1.6,1,SHORT,2024
2024-12-26,DAX_S2,DAX,8.3,2,SHORT,2024
2024-12-26,DAX_S2,DAX,1.7,3,SHORT,2024
2024-12-27,DAX_S2,DAX,-7.0,1,LONG,2024
2024-12-27,DAX_S2,DAX,-3.0,2,SHORT,2024
2024-12-27,DAX_S2,DAX,9.0,3,SHORT,2024
2024-12-30,DAX_S2,DAX,47.0,1,SHORT,2024
